Marca temporal,0. ¿Aceptas que tus respuestas anónimas se usen con fines académicos de este proyecto? ,1. ¿A qué nivel estás cursando actualmente? ,2. ¿Cuántas horas al día pasas en aulas de la FCC? ,3. ¿Desde qué dispositivo consultarías el estado de un aula? ,4.  Temperatura incómoda en el aula ,5.  Proyector dañado o sin señal ,"6.   Conflicto de ""aula ocupada"" cuando no debería estarlo ",7.  Wi-Fi fallando durante clase ,8.  Interrupción de clase por mantenimiento ,9. Recibir notificación de un problema antes de llegar al aula ,10.  Ver en tiempo real qué aulas están libres ,11.  Que el aire acondicionado se ajuste automáticamente ,12.  Poder reportar una falla desde el celular ,13.  Consultar el historial de fallas de un aula ,14.  Recibir alerta si cambia el aula de último momento ,15.  Ver el estado de conectividad antes de una clase virtual ,16. Que el sistema prediga fallas antes de que ocurran ,16.  ¿Qué tan importante es que el sistema te explique por qué predijo una falla? ,18.   ¿Qué tipo de explicación preferirías? ,19.  ¿Qué tan cómodo(a) estarías con que el sistema use las cámaras existentes para saber si el aula está ocupada? ,20.  ¿Quién debería poder ver tus datos de uso del sistema? ,21.  ¿Qué tan importante es poder corregir o eliminar tus datos? ,"22. Si el sistema te avisa automáticamente ante una falla, ¿cómo te sentirías? ","23.  Si el sistema NO te avisa y debes enterarte por tu cuenta, ¿cómo te sentirías? ","24.  Si puedes ver la disponibilidad de aulas en tiempo real, ¿cómo te sentirías? ","25.  Si NO puedes verla y debes preguntar o ir a revisar, ¿cómo te sentirías? ","26.  Si el aire acondicionado se ajusta automáticamente según la ocupación, ¿cómo te sentirías? ","27.  Si el aire acondicionado NO se ajusta automáticamente según la ocupación, ¿cómo te sentirías? ",28.  ¿Usarías este sistema si estuviera disponible hoy? ,29.  ¿Qué problema con las aulas no cubrimos en este cuestionario? 
2026-07-28 17:36:15.586,Si,9.º – 10.º semestre,3-6,Tablet,Frecuentemente,Frecuentemente,A veces,A veces,Frecuentemente,5.0,4.0,2.0,3.0,4.0,5.0,5.0,3.0,2.0,"Ninguna, solo la alerta",1.0,Solo yo,5.0,No me gustaría,Lo toleraría,Me es indiferente,No me gustaría,Lo toleraría,Lo toleraría,Probablemente sí,
2026-07-28 17:37:54.565,Si,1.º – 2.º semestre,2-5,Celular,Rara vez,A veces,Nunca,A veces,Rara vez,2.0,2.0,3.0,3.0,1.0,4.0,4.0,4.0,2.0,Un detalle técnico,3.0,Nadie,4.0,Me encantaría,Lo doy por hecho,Me encantaría,Lo toleraría,Me es indiferente,Lo doy por hecho,No estoy seguro,
2026-07-28 17:38:50.777,Si,5.º – 6.º semestre,4-7,Tablet,A veces,Rara vez,A veces,Rara vez,Frecuentemente,1.0,4.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,"Ninguna, solo la alerta",1.0,Docentes y administradores,3.0,Me encantaría,No me gustaría,Me encantaría,No me gustaría,Me es indiferente,No me gustaría,"Sí, seguro",
2026-07-28 17:40:24.901,Si,9.º – 10.º semestre,4-7,Celular,Rara vez,Frecuentemente,A veces,A veces,Frecuentemente,2.0,4.0,2.0,5.0,3.0,2.0,5.0,4.0,2.0,Un ejemplo de un caso anterior,4.0,Solo yo,2.0,Lo doy por hecho,Me es indiferente,Lo toleraría,No me gustaría,Me es indiferente,Lo toleraría,Probablemente sí,
2026-07-28 17:41:11.375,Si,9.º – 10.º semestre,1-4,Laptop,Nunca,Nunca,Nunca,Siempre,Nunca,1.0,2.0,3.0,4.0,3.0,3.0,1.0,4.0,1.0,Un detalle técnico,3.0,Docentes y administradores,4.0,Lo doy por hecho,No me gustaría,Me encantaría,No me gustaría,Lo doy por hecho,No me gustaría,Probablemente sí,
2026-07-28 17:41:43.883,Si,7.º – 8.º semestre,1-4,Celular,A veces,Nunca,A veces,A veces,Nunca,3.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,2.0,Un detalle técnico,3.0,Solo yo,3.0,Lo doy por hecho,No me gustaría,Me encantaría,Lo toleraría,Lo doy por hecho,No me gustaría,Probablemente sí,"Comodidad, Ambiente agradable."
2026-07-28 17:41:58.523,Si,1.º – 2.º semestre,4-7,Laptop,Rara vez,Frecuentemente,Frecuentemente,A veces,Nunca,4.0,5.0,4.0,5.0,2.0,2.0,5.0,2.0,1.0,Una frase simple,3.0,Docentes y administradores,4.0,Lo toleraría,No me gustaría,Me encantaría,No me gustaría,Me es indiferente,No me gustaría,Probablemente sí,
2026-07-28 17:51:32.940,Si,7.º – 8.º semestre,2-5,Celular,Rara vez,Rara vez,Nunca,A veces,Nunca,5.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,Un detalle técnico,1.0,Solo administradores,5.0,Me encantaría,Me encantaría,Me encantaría,Lo doy por hecho,Me encantaría,Lo toleraría,"Sí, seguro",Nada
2026-07-28 18:13:38.047,Si,7.º – 8.º semestre,4-7,Celular,A veces,Rara vez,A veces,Frecuentemente,Rara vez,1.0,3.0,4.0,1.0,1.0,3.0,1.0,3.0,1.0,Un ejemplo de un caso anterior,5.0,Solo yo,5.0,Lo doy por hecho,Lo toleraría,Me encantaría,No me gustaría,Me encantaría,No me gustaría,Probablemente sí,Todos los problemas están cubiertos 
2026-07-28 18:14:24.018,Si,7.º – 8.º semestre,3-6,Celular,A veces,A veces,A veces,Siempre,A veces,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Un detalle técnico,2.0,Solo administradores,3.0,Me encantaría,No me gustaría,Me encantaría,No me gustaría,Lo doy por hecho,No me gustaría,Probablemente sí,
2026-07-28 20:45:30.309,Si,,3-6,Celular,Rara vez,Nunca,Rara vez,Rara vez,Rara vez,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,Un detalle técnico,2.0,Solo yo,1.0,No me gustaría,No me gustaría,Me encantaría,No me gustaría,Lo toleraría,No me gustaría,"Sí, seguro",
2026-07-28 21:12:55.129,Si,1.º – 2.º semestre,1-4,Celular,A veces,Rara vez,A veces,Nunca,Nunca,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
2026-07-29 07:52:21.522,Si,3.º – 4.º semestre,2-5,Laptop,A veces,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,2.0,5.0,1.0,2.0,2.0,4.0,5.0,2.0,1.0,"Ninguna, solo la alerta",2.0,Solo yo,1.0,Lo doy por hecho,No me gustaría,Lo toleraría,Me encantaría,Lo doy por hecho,No me gustaría,Probablemente sí,Nada
2026-07-29 14:10:24.095,Si,7.º – 8.º semestre,1-4,Tablet,Rara vez,Siempre,Rara vez,Siempre,Nunca,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Una frase simple,5.0,Docentes y administradores,5.0,Me encantaría,No me gustaría,Me encantaría,Lo toleraría,Me encantaría,Lo toleraría,"Sí, seguro",Hasta el momento los mas usuales que he experimentado ya fueron cubiertos
2026-07-29 17:02:18.133,Si,3.º – 4.º semestre,2-5,Celular,A veces,Nunca,Nunca,Siempre,A veces,,,4.0,5.0,3.0,5.0,4.0,4.0,4.0,Un detalle técnico,3.0,Solo yo,4.0,No me gustaría,Me encantaría,Me encantaría,Lo doy por hecho,,Me es indiferente,No estoy seguro,Todas estan
2026-07-29 17:06:10.654,Si,3.º – 4.º semestre,3-6,Celular,Rara vez,Rara vez,Rara vez,A veces,Rara vez,1.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,Una frase simple,3.0,Docentes y administradores,3.0,Me encantaría,Lo toleraría,Me encantaría,Me es indiferente,No me gustaría,Lo toleraría,Probablemente sí,
2026-07-29 17:41:58.496,Si,3.º – 4.º semestre,2-5,Celular,A veces,Rara vez,Rara vez,Frecuentemente,Rara vez,3.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,3.0,Un ejemplo de un caso anterior,3.0,Solo yo,5.0,Me es indiferente,Lo toleraría,Lo toleraría,No me gustaría,,No me gustaría,"Sí, seguro",La conexión a internet es decir los puertos de conexión suelen estar dañados en algunas aulas 
2026-07-29 22:47:22.201,Si,3.º – 4.º semestre,4-7,Celular,A veces,Rara vez,Rara vez,Siempre,Nunca,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Una frase simple,4.0,Solo yo,5.0,Lo doy por hecho,No me gustaría,Me encantaría,Lo toleraría,Me encantaría,Me es indiferente,"Sí, seguro","Cuando está lloviendo, algunas aulas suelen inundarse"
2026-07-29 22:56:03.106,Si,3.º – 4.º semestre,4-7,Celular,Rara vez,A veces,Nunca,Siempre,Nunca,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Una frase simple,5.0,Solo yo,5.0,Me encantaría,No me gustaría,Me encantaría,No me gustaría,Me encantaría,No me gustaría,Probablemente sí,Falta de tachos de basura dentro de las aulas
2026-07-29 23:06:42.306,Si,5.º – 6.º semestre,4-7,Celular,Rara vez,Rara vez,Rara vez,Siempre,Rara vez,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,Un detalle técnico,5.0,Solo yo,5.0,Me encantaría,No me gustaría,Me encantaría,No me gustaría,Me encantaría,Me es indiferente,"Sí, seguro",nda
2026-07-29 23:30:41.876,Si,3.º – 4.º semestre,2-5,Celular,Frecuentemente,A veces,A veces,Siempre,Nunca,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Un ejemplo de un caso anterior,1.0,Solo yo,2.0,Lo doy por hecho,No me gustaría,Me es indiferente,Me es indiferente,Me es indiferente,Me es indiferente,Probablemente sí,
2026-08-02 10:43:36.157,Si,7.º – 8.º semestre,4-7,Tablet,Rara vez,Nunca,Nunca,Nunca,Nunca,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Ninguna, solo la alerta",1.0,Cualquier persona de la facultad,1.0,No me gustaría,No me gustaría,No me gustaría,No me gustaría,No me gustaría,No me gustaría,Probablemente no,
2026-08-13 09:26:56.234,Si,3.º – 4.º semestre,2-5,Celular,Siempre,Rara vez,Nunca,Siempre,Rara vez,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,Un detalle técnico,5.0,Solo administradores,5.0,Lo toleraría,No me gustaría,Me encantaría,Lo toleraría,Me encantaría,No me gustaría,"Sí, seguro",
2026-08-25 21:00:14.527,Si,3.º – 4.º semestre,4-7,Celular,Frecuentemente,Rara vez,Rara vez,Frecuentemente,Rara vez,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Un detalle técnico,1.0,Solo administradores,5.0,Me encantaría,No me gustaría,Me encantaría,Me es indiferente,Me encantaría,Lo toleraría,Probablemente sí,Ni idea
2026-08-25 21:01:44.570,Si,1.º – 2.º semestre,2-5,Celular,Rara vez,A veces,A veces,Siempre,Rara vez,3.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,Un detalle técnico,3.0,Solo administradores,3.0,Lo doy por hecho,Lo doy por hecho,Lo doy por hecho,Lo doy por hecho,Lo doy por hecho,Lo doy por hecho,"Sí, seguro",
2026-08-25 21:01:50.907,Si,5.º – 6.º semestre,2-5,Celular,A veces,Nunca,Nunca,Siempre,Nunca,3.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,Una frase simple,5.0,Solo yo,5.0,Lo doy por hecho,Lo toleraría,Me encantaría,Lo toleraría,Me encantaría,Lo toleraría,"Sí, seguro",
2026-08-25 21:02:10.166,Si,5.º – 6.º semestre,2-5,Celular,Siempre,Siempre,Siempre,Siempre,Siempre,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Un detalle técnico,5.0,Solo yo,5.0,Lo toleraría,No me gustaría,Lo toleraría,Lo toleraría,Lo toleraría,Lo toleraría,Probablemente no,Ni pta idea
2026-08-25 21:03:26.282,Si,5.º – 6.º semestre,1-4,Celular,Nunca,A veces,A veces,Frecuentemente,A veces,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,Una frase simple,3.0,Docentes y administradores,3.0,Me encantaría,Me encantaría,Me es indiferente,Lo toleraría,Me encantaría,Me es indiferente,Probablemente sí,
2026-08-25 21:04:50.764,Si,1.º – 2.º semestre,2-5,Celular,Nunca,Nunca,Rara vez,Frecuentemente,Rara vez,1.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,Un ejemplo de un caso anterior,3.0,Nadie,,Lo doy por hecho,Me es indiferente,Me encantaría,Lo toleraría,Me encantaría,Lo doy por hecho,"Sí, seguro",la revisión de las aula 
2026-08-25 21:05:22.337,Si,3.º – 4.º semestre,2-5,Celular,Rara vez,Rara vez,Nunca,Siempre,Rara vez,1.0,1.0,4.0,3.0,2.0,1.0,2.0,3.0,3.0,"Ninguna, solo la alerta",1.0,Cualquier persona de la facultad,4.0,Me es indiferente,Me es indiferente,Me es indiferente,Lo toleraría,Lo toleraría,Me es indiferente,Probablemente sí,"Los conectores, cambio de conectores en mi curso estan x dañarse y no conectan bn "
2026-08-25 21:07:47.833,Si,7.º – 8.º semestre,1-4,Celular,Rara vez,A veces,A veces,Frecuentemente,Rara vez,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Un ejemplo de un caso anterior,3.0,Solo yo,5.0,Me encantaría,No me gustaría,Lo doy por hecho,Lo toleraría,Me encantaría,Lo toleraría,Probablemente sí,Sus capacidades. 
2026-08-25 21:08:20.932,Si,1.º – 2.º semestre,1-4,Celular,Nunca,Nunca,Rara vez,Siempre,Nunca,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Una frase simple,3.0,Docentes y administradores,3.0,Me es indiferente,Lo toleraría,Me es indiferente,Me es indiferente,Me es indiferente,Me es indiferente,Probablemente sí,
2026-08-25 21:08:34.979,Si,1.º – 2.º semestre,2-5,Celular,A veces,A veces,A veces,A veces,Rara vez,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Un detalle técnico,5.0,Solo yo,5.0,Me encantaría,Me es indiferente,,No me gustaría,Lo doy por hecho,No me gustaría,"Sí, seguro",Se cubrieron todos los problemas 
2026-08-25 21:12:40.478,Si,5.º – 6.º semestre,4-7,Celular,Rara vez,Nunca,Nunca,Siempre,Nunca,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,Una frase simple,5.0,Nadie,5.0,Me encantaría,No me gustaría,No me gustaría,No me gustaría,No me gustaría,No me gustaría,"Sí, seguro",Nada
2026-08-25 21:20:33.047,Si,3.º – 4.º semestre,4-7,Celular,Rara vez,Siempre,A veces,Siempre,Nunca,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Ninguna, solo la alerta",3.0,Nadie,5.0,Lo doy por hecho,Me es indiferente,Me es indiferente,No me gustaría,Me encantaría,No me gustaría,Probablemente sí,Ek cruce de semestre
2026-08-25 21:21:30.233,Si,5.º – 6.º semestre,2-5,Celular,Frecuentemente,A veces,A veces,Siempre,Rara vez,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Una frase simple,3.0,Solo yo,3.0,Me es indiferente,Lo toleraría,Lo toleraría,Me encantaría,Me encantaría,Lo doy por hecho,Probablemente sí,Nah
2026-08-25 21:46:00.886,Si,1.º – 2.º semestre,4-7,Celular,A veces,Rara vez,Frecuentemente,Siempre,Nunca,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Ninguna, solo la alerta",5.0,Solo administradores,5.0,Me encantaría,No me gustaría,Me encantaría,No me gustaría,Me encantaría,No me gustaría,"Sí, seguro",
2026-08-25 21:54:19.322,Si,3.º – 4.º semestre,2-5,Celular,Rara vez,Nunca,Rara vez,Rara vez,Rara vez,3.0,3.0,3.0,3.0,2.0,2.0,4.0,2.0,3.0,Un detalle técnico,3.0,Solo administradores,3.0,Lo doy por hecho,Lo doy por hecho,Lo doy por hecho,Lo doy por hecho,Lo doy por hecho,Lo doy por hecho,Probablemente sí,...
2026-08-25 21:59:14.283,Si,3.º – 4.º semestre,3-6,Celular,Frecuentemente,A veces,A veces,Frecuentemente,Rara vez,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,Un detalle técnico,1.0,Solo yo,1.0,Lo doy por hecho,No me gustaría,Me encantaría,Me es indiferente,Me encantaría,No me gustaría,"Sí, seguro",Los escritorios y pizarra 
2026-08-25 22:21:58.318,Si,3.º – 4.º semestre,2-5,Celular,Siempre,A veces,Nunca,Siempre,Rara vez,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Un detalle técnico,5.0,Solo administradores,3.0,Me encantaría,No me gustaría,Me encantaría,Lo toleraría,Me encantaría,No me gustaría,"Sí, seguro",
2026-08-25 22:35:59.502,Si,9.º – 10.º semestre,4-7,Celular,A veces,A veces,A veces,Frecuentemente,Rara vez,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Un detalle técnico,5.0,Docentes y administradores,5.0,Lo toleraría,No me gustaría,Me encantaría,Me es indiferente,Me es indiferente,Me es indiferente,Probablemente sí,
2026-08-26 08:35:53.543,Si,5.º – 6.º semestre,4-7,Celular,Rara vez,Frecuentemente,Frecuentemente,Rara vez,Siempre,2.0,5.0,4.0,2.0,1.0,2.0,1.0,2.0,4.0,Un ejemplo de un caso anterior,2.0,Nadie,1.0,Me encantaría,Lo doy por hecho,Lo doy por hecho,Lo doy por hecho,Me encantaría,Lo doy por hecho,"Sí, seguro",H
2026-08-26 09:07:05.236,Si,3.º – 4.º semestre,2-5,Tablet,Nunca,Siempre,Frecuentemente,Siempre,Nunca,4.0,3.0,4.0,1.0,5.0,1.0,2.0,2.0,3.0,Un ejemplo de un caso anterior,2.0,Cualquier persona de la facultad,1.0,Lo doy por hecho,Lo toleraría,Me encantaría,Lo toleraría,Lo doy por hecho,Lo doy por hecho,No estoy seguro,
2026-08-28 00:22:11.738,Si,5.º – 6.º semestre,4-7,Celular,Frecuentemente,Rara vez,Rara vez,A veces,Nunca,3.0,1.0,3.0,1.0,4.0,3.0,5.0,1.0,2.0,Un ejemplo de un caso anterior,1.0,Docentes y administradores,2.0,Lo doy por hecho,Lo doy por hecho,Me encantaría,Lo toleraría,Lo toleraría,Lo toleraría,Probablemente no,
2026-08-28 00:35:21.058,Si,3.º – 4.º semestre,3-6,Celular,A veces,A veces,A veces,Frecuentemente,Nunca,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Una frase simple,5.0,Solo yo,5.0,Lo doy por hecho,Lo toleraría,Lo doy por hecho,No me gustaría,Me encantaría,Lo toleraría,"Sí, seguro",A veces las Bancas están dañadas y si se termina de dañar pueden culpar al estudiante
2026-08-29 13:45:20.185,Si,3.º – 4.º semestre,2-5,Celular,Rara vez,A veces,Nunca,Siempre,A veces,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Una frase simple,4.0,Docentes y administradores,3.0,Me encantaría,Me es indiferente,Lo doy por hecho,Lo toleraría,Lo toleraría,Me es indiferente,"Sí, seguro",Para mi abarca todo
2026-08-29 13:46:34.833,Si,9.º – 10.º semestre,3-6,Laptop,Rara vez,A veces,A veces,A veces,A veces,4.0,4.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,Un detalle técnico,2.0,Docentes y administradores,3.0,Lo doy por hecho,Lo doy por hecho,Me es indiferente,Me es indiferente,Me es indiferente,Me es indiferente,No estoy seguro,"Esta cubierto todo , sin opinión"
2026-08-29 13:48:11.912,Si,1.º – 2.º semestre,2-5,Tablet,Rara vez,A veces,A veces,Rara vez,Nunca,3.0,3.0,4.0,4.0,1.0,3.0,4.0,5.0,4.0,Un ejemplo de un caso anterior,3.0,Cualquier persona de la facultad,2.0,Lo doy por hecho,Lo doy por hecho,Me es indiferente,Me es indiferente,Me es indiferente,Me es indiferente,Probablemente sí,Me parece relevante el sistema
2026-08-29 13:49:10.319,Si,1.º – 2.º semestre,1-4,Celular,Rara vez,Siempre,Rara vez,Frecuentemente,Frecuentemente,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Un detalle técnico,3.0,Cualquier persona de la facultad,3.0,Me es indiferente,Me es indiferente,Me es indiferente,Me es indiferente,Lo doy por hecho,Me es indiferente,Probablemente sí,Sin comentarios
2026-08-29 16:28:20.225,Si,3.º – 4.º semestre,2-5,Celular,Rara vez,Rara vez,Rara vez,Siempre,A veces,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,Una frase simple,5.0,Solo administradores,5.0,Me encantaría,No me gustaría,Me encantaría,Lo toleraría,Lo doy por hecho,No me gustaría,"Sí, seguro",
