codigo_participante,perfil,evidencia,fecha_sesion,sesion,archivo_consentimiento,deposito,alcance_autorizado,citable_en_manuscrito,como_consta
TIC-01,Tecnico,sin transcripcion asociada,2026-09-04,Entrevista semiestructurada,02_Evidencias/Consentimientos/2026-09-04_Tecnico_TIC-01_Consentimiento.pdf,"Depositado, con los datos identificables censurados",Curso y publicacion cientifica revisada por pares,Si,"Cubierto por la adenda de segunda ronda del expediente etico de la Entrega 2A, segun 02_Evidencias/Etica/resumen_proceso_etico.md, apartado 2"
CONS-01,Conserje,MC-01,2026-09-01,Validacion comunicativa (member checking),02_Evidencias/Member_Checking/2026-09-01_Conserje_CONS-01_Consentimiento_MC.pdf,"Depositado, con los datos identificables censurados",Solo ambito del curso,NO,"Marcaron la segunda casilla del formulario. Es visible en cada PDF, encima de la banda de censura, y esta declarado en 02_Evidencias/Member_Checking/00_LEEME.md"
COORD-01,Coordinacion,MC-01,2026-09-01,Validacion comunicativa (member checking),02_Evidencias/Member_Checking/2026-09-01_Coordinacion_COORD-01_Consentimiento_MC.pdf,"Depositado, con los datos identificables censurados",Solo ambito del curso,NO,"Marcaron la segunda casilla del formulario. Es visible en cada PDF, encima de la banda de censura, y esta declarado en 02_Evidencias/Member_Checking/00_LEEME.md"
DOC-01,Docente,MC-01,2026-09-01,Validacion comunicativa (member checking),02_Evidencias/Member_Checking/2026-09-01_Docente_DOC-01_Consentimiento_MC.pdf,"Depositado, con los datos identificables censurados",Solo ambito del curso,NO,"Marcaron la segunda casilla del formulario. Es visible en cada PDF, encima de la banda de censura, y esta declarado en 02_Evidencias/Member_Checking/00_LEEME.md"
DOC-05,Docente,EV-20,2026-09-03,"Entrevista semiestructurada, ronda terminal",02_Evidencias/Consentimientos/2026-09-03_Docente_DOC-05_Consentimiento.pdf,"Depositado, con los datos identificables censurados",Curso y publicacion cientifica revisada por pares,Si,"Marcaron la primera casilla del formulario de la ronda terminal, redactado en cumplimiento de la LOPDP. Verificable en el PDF firmado una vez depositado"
DOC-06,Docente,EV-21,2026-09-03,"Entrevista semiestructurada, ronda terminal",02_Evidencias/Consentimientos/2026-09-03_Docente_DOC-06_Consentimiento.pdf,"Depositado, con los datos identificables censurados",Curso y publicacion cientifica revisada por pares,Si,"Marcaron la primera casilla del formulario de la ronda terminal, redactado en cumplimiento de la LOPDP. Verificable en el PDF firmado una vez depositado"
DOC-07,Docente,EV-22,2026-09-03,"Entrevista semiestructurada, ronda terminal",02_Evidencias/Consentimientos/2026-09-03_Docente_DOC-07_Consentimiento.pdf,"Depositado, con los datos identificables censurados",Curso y publicacion cientifica revisada por pares,Si,"Marcaron la primera casilla del formulario de la ronda terminal, redactado en cumplimiento de la LOPDP. Verificable en el PDF firmado una vez depositado"
DOC-08,Docente,EV-23,2026-09-03,"Entrevista semiestructurada, ronda terminal",02_Evidencias/Consentimientos/2026-09-03_Docente_DOC-08_Consentimiento.pdf,"Depositado, con los datos identificables censurados",Curso y publicacion cientifica revisada por pares,Si,"Marcaron la primera casilla del formulario de la ronda terminal, redactado en cumplimiento de la LOPDP. Verificable en el PDF firmado una vez depositado"
DOC-09,Docente,EV-24,2026-09-03,"Entrevista semiestructurada, ronda terminal",02_Evidencias/Consentimientos/2026-09-03_Docente_DOC-09_Consentimiento.pdf,"Depositado, con los datos identificables censurados",Curso y publicacion cientifica revisada por pares,Si,"Marcaron la primera casilla del formulario de la ronda terminal, redactado en cumplimiento de la LOPDP. Verificable en el PDF firmado una vez depositado"
DOC-10,Docente,EV-25,2026-09-03,"Entrevista semiestructurada, ronda terminal",02_Evidencias/Consentimientos/2026-09-03_Docente_DOC-10_Consentimiento.pdf,"Depositado, con los datos identificables censurados",Curso y publicacion cientifica revisada por pares,Si,"Marcaron la primera casilla del formulario de la ronda terminal, redactado en cumplimiento de la LOPDP. Verificable en el PDF firmado una vez depositado"
